Percent of Optimal,Random,Reverse Optimal,Random Reverse Optimal
0,232410.0,,
1,264497.0,3480027.0,1601483.0
2,188593.0,766932.0,766932.0
3,139933.0,574705.0,552282.0
4,181236.0,430661.0,434967.0
5,214630.0,397713.0,413860.0
6,154569.0,319531.0,310135.0
7,133144.0,227831.0,292164.0
8,131826.0,230109.0,234734.0
9,148539.0,200192.0,198210.0
10,133144.0,216776.0,194305.0
11,116995.0,172442.0,206256.0
12,109126.0,159251.0,218943.0
13,115837.0,192382.0,221132.0
14,98796.0,160843.0,153039.0
15,108046.0,162451.0,164075.0
16,88558.0,135819.0,156114.0
17,105918.0,141332.0,179442.0
18,97818.0,138548.0,114691.0
19,75532.0,111319.0,90337.0
20,80175.0,109126.0,109126.0
21,74045.0,106977.0,131826.0
22,81785.0,131826.0,112432.0
23,69067.0,88558.0,98796.0
24,70454.0,102804.0,126684.0
25,74785.0,61299.0,94943.0
26,52807.0,63786.0,84262.0
27,72587.0,60693.0,103832.0
28,48289.0,87682.0,93073.0
29,61299.0,68384.0,71869.0
30,51256.0,60093.0,73312.0
31,50247.0,59499.0,60693.0
32,81785.0,63155.0,88558.0
33,44157.0,40782.0,53335.0
34,41189.0,76287.0,55499.0
35,45947.0,43288.0,36199.0
36,34789.0,37294.0,74045.0
37,39585.0,47338.0,63155.0
38,44598.0,56053.0,51768.0
39,38422.0,47338.0,45493.0
40,41600.0,33767.0,39194.0
41,27410.0,58327.0,39585.0
42,45493.0,41600.0,45043.0
43,26342.0,30272.0,42016.0
44,35136.0,28806.0,25316.0
45,25824.0,45493.0,32775.0
46,21385.0,29094.0,22251.0
47,24330.0,30879.0,42436.0
48,33102.0,15881.0,23152.0
49,23852.0,26871.0,25066.0
50,25569.0,21174.0,24090.0
51,42860.0,35841.0,39194.0
52,16360.0,37294.0,31498.0
53,13822.0,21174.0,31187.0
54,10372.0,32130.0,24573.0
55,24090.0,20965.0,22031.0
56,20553.0,17888.0,17363.0
57,14524.0,18612.0,9304.0
58,14239.0,14815.0,27139.0
59,13285.0,17888.0,15881.0
60,8262.0,16039.0,11680.0
61,10684.0,11913.0,17022.0
62,14815.0,9031.0,18798.0
63,9679.0,10897.0,4849.0
64,6847.0,11565.0,10475.0
65,5789.0,7863.0,5510.0
66,7265.0,7786.0,11226.0
67,5402.0,7558.0,8427.0
68,4661.0,7558.0,8181.0
69,6265.0,5620.0,7265.0
70,3791.0,4351.0,6453.0
71,4308.0,4945.0,4101.0
72,3574.0,5043.0,6082.0
73,3943.0,5565.0,5194.0
74,3470.0,3943.0,3436.0
75,3791.0,3828.0,4351.0
76,3645.0,3470.0,3369.0
77,3114.0,4481.0,4394.0
78,2908.0,4437.0,2824.0
79,2880.0,3369.0,4183.0
80,2824.0,4570.0,3470.0
81,3303.0,2440.0,2824.0
82,2743.0,2638.0,3114.0
83,2488.0,3754.0,3114.0
84,2370.0,2279.0,2797.0
85,2440.0,2716.0,2797.0
86,2393.0,2743.0,2440.0
87,2171.0,2393.0,2966.0
88,2664.0,2537.0,2512.0
89,2562.0,2852.0,2716.0
90,2088.0,1970.0,2213.0
91,2464.0,3024.0,2279.0
92,2664.0,2416.0,2393.0
93,2068.0,2824.0,2257.0
94,2129.0,2464.0,1951.0
95,2008.0,1895.0,1951.0
96,2416.0,2937.0,2235.0
97,2638.0,2028.0,1877.0
98,2068.0,2048.0,2638.0
99,1989.0,2068.0,2192.0
100,2638.0,2008.0,1788.0
