Percent of Optimal,Random,Reverse Optimal,Random Reverse Optimal
0,259287.0,,
1,251663.0,2268647.0,1601483.0
2,227831.0,737008.0,917353.0
3,210401.0,448146.0,480471.0
4,170735.0,475714.0,443709.0
5,174166.0,310135.0,325953.0
6,157675.0,267141.0,307065.0
7,131826.0,232410.0,251663.0
8,142745.0,259287.0,225576.0
9,151524.0,190478.0,230109.0
10,135819.0,183048.0,212505.0
11,96850.0,210401.0,160843.0
12,112432.0,133144.0,164075.0
13,118164.0,145613.0,154569.0
14,113556.0,175907.0,150024.0
15,93073.0,124189.0,138548.0
16,121743.0,109126.0,116995.0
17,70454.0,110217.0,122960.0
18,91240.0,125430.0,95892.0
19,67037.0,144172.0,122960.0
20,82602.0,122960.0,110217.0
21,68384.0,97818.0,106977.0
22,72587.0,84262.0,111319.0
23,69757.0,97818.0,89443.0
24,59499.0,74785.0,85104.0
25,59499.0,82602.0,100780.0
26,65717.0,74785.0,80976.0
27,58910.0,75532.0,65067.0
28,61299.0,67707.0,69067.0
29,53868.0,80175.0,71869.0
30,50247.0,73312.0,61911.0
31,50749.0,69757.0,67707.0
32,39194.0,65067.0,61299.0
33,50247.0,61911.0,49750.0
34,47811.0,49258.0,53868.0
35,45947.0,49258.0,56613.0
36,34789.0,45043.0,54950.0
37,45947.0,57179.0,47811.0
38,34789.0,50247.0,47338.0
39,30879.0,44598.0,48289.0
40,29094.0,39194.0,39585.0
41,25824.0,40379.0,45043.0
42,23152.0,39980.0,40379.0
43,34445.0,42860.0,32130.0
44,28521.0,30574.0,26605.0
45,25569.0,29384.0,31498.0
46,29677.0,38422.0,30272.0
47,24573.0,27960.0,26871.0
48,26605.0,29677.0,23383.0
49,23616.0,28521.0,24090.0
50,17192.0,28806.0,26605.0
51,22473.0,26082.0,21598.0
52,17711.0,25824.0,22923.0
53,14669.0,32451.0,22697.0
54,20758.0,27139.0,23616.0
55,16199.0,18985.0,15112.0
56,17711.0,20149.0,15112.0
57,13960.0,18798.0,18428.0
58,12273.0,12896.0,17536.0
59,9031.0,15881.0,18246.0
60,11796.0,13154.0,13024.0
61,9121.0,12152.0,16523.0
62,8767.0,12032.0,14815.0
63,7484.0,9775.0,10684.0
64,8511.0,7558.0,9490.0
65,6142.0,7484.0,10169.0
66,5732.0,7337.0,6390.0
67,5676.0,6582.0,5846.0
68,6022.0,8020.0,8020.0
69,4801.0,5510.0,6517.0
70,5043.0,3866.0,6390.0
71,4351.0,5194.0,4437.0
72,4351.0,4615.0,5194.0
73,4142.0,6203.0,4183.0
74,3754.0,4142.0,4525.0
75,4481.0,4994.0,4101.0
76,3866.0,3336.0,3645.0
77,3054.0,3369.0,3436.0
78,3470.0,3239.0,3470.0
79,2638.0,3207.0,3176.0
80,2852.0,4061.0,3754.0
81,2587.0,2797.0,3145.0
82,2638.0,2690.0,2966.0
83,2824.0,3336.0,3054.0
84,2770.0,2743.0,2690.0
85,2966.0,3239.0,2852.0
86,2743.0,2797.0,2690.0
87,2393.0,2587.0,2512.0
88,2370.0,2324.0,2537.0
89,2324.0,2537.0,2150.0
90,2562.0,2301.0,2440.0
91,2488.0,2235.0,1951.0
92,2347.0,2587.0,2192.0
93,2416.0,2638.0,2088.0
94,2129.0,2150.0,2324.0
95,2235.0,2088.0,2129.0
96,1913.0,2488.0,2324.0
97,2028.0,2068.0,2171.0
98,2279.0,2028.0,2129.0
99,1970.0,1788.0,1913.0
100,2068.0,2088.0,2108.0
