Games Played,Q Agent
0,0.0
1,0.25
2,0.16
3,0.32
4,0.23
5,0.19
6,0.24
7,0.24
8,0.23
9,0.18
10,0.24
11,0.18
12,0.24
13,0.22
14,0.22
15,0.2
16,0.21
17,0.23
18,0.11
19,0.19
20,0.2
21,0.18
22,0.21
23,0.22
24,0.21
25,0.23
26,0.18
27,0.28
28,0.21
29,0.23
30,0.21
31,0.26
32,0.2
33,0.23
34,0.28
35,0.2
36,0.22
37,0.19
38,0.22
39,0.28
40,0.28
41,0.3
42,0.31
43,0.23
44,0.2
45,0.19
46,0.24
47,0.3
48,0.26
49,0.22
50,0.25
51,0.28
52,0.22
53,0.26
54,0.24
55,0.28
56,0.25
57,0.26
58,0.33
59,0.26
60,0.29
61,0.31
62,0.3
63,0.29
64,0.3
65,0.3
66,0.34
67,0.27
68,0.29
69,0.32
70,0.33
71,0.34
72,0.33
73,0.32
74,0.29
75,0.25
76,0.22
77,0.31
78,0.43
79,0.37
80,0.22
81,0.34
82,0.41
83,0.38
84,0.32
85,0.3
86,0.34
87,0.36
88,0.31
89,0.38
90,0.39
91,0.4
92,0.35
93,0.29
94,0.37
95,0.36
96,0.36
97,0.33
98,0.28
99,0.31
100,0.31
200,0.42
300,0.59
400,0.71
500,0.71
600,0.78
700,0.86
800,0.95
900,0.94
1000,0.95
1100,0.96
1200,0.97
1300,0.99
1400,1.0
1500,0.98
1600,0.98
1700,1.0
1800,0.99
1900,1.0
2000,0.99
2100,1.0
2200,1.0
2300,0.97
2400,0.98
2500,1.0
2600,1.0
2700,1.0
2800,1.0
2900,0.98
3000,1.0
3100,1.0
3200,1.0
3300,1.0
3400,1.0
3500,1.0
3600,1.0
3700,1.0
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,1.0
5100,1.0
5200,1.0
5300,1.0
5400,1.0
5500,1.0
5600,1.0
5700,1.0
5800,1.0
5900,1.0
6000,1.0
6100,1.0
6200,1.0
6300,1.0
6400,1.0
6500,1.0
6600,1.0
6700,1.0
6800,1.0
6900,1.0
7000,1.0
7100,1.0
7200,1.0
7300,1.0
7400,1.0
7500,1.0
7600,1.0
7700,1.0
7800,1.0
7900,1.0
8000,1.0
8100,1.0
8200,1.0
8300,1.0
8400,1.0
8500,1.0
8600,1.0
8700,1.0
8800,1.0
8900,1.0
9000,1.0
9100,1.0
9200,1.0
9300,1.0
9400,1.0
9500,1.0
9600,1.0
9700,1.0
9800,1.0
9900,1.0
10000,1.0
10100,1.0
10200,1.0
10300,1.0
10400,1.0
10500,1.0
10600,1.0
10700,1.0
10800,1.0
10900,1.0
11000,1.0
11100,1.0
11200,1.0
11300,1.0
11400,1.0
11500,1.0
11600,1.0
11700,1.0
11800,1.0
11900,1.0
12000,1.0
12100,1.0
12200,1.0
12300,1.0
12400,1.0
12500,1.0
12600,1.0
12700,1.0
12800,1.0
12900,1.0
13000,1.0
13100,1.0
13200,1.0
13300,1.0
13400,1.0
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,1.0
14100,1.0
14200,1.0
14300,1.0
14400,1.0
14500,1.0
14600,1.0
14700,1.0
14800,1.0
14900,1.0
15000,1.0
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,1.0
15600,1.0
15700,1.0
15800,1.0
15900,1.0
16000,1.0
16100,1.0
16200,1.0
16300,1.0
16400,1.0
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,1.0
17200,1.0
17300,1.0
17400,1.0
17500,1.0
17600,1.0
17700,1.0
17800,1.0
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,1.0
18400,1.0
18500,1.0
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,1.0
19500,1.0
19600,1.0
19700,1.0
