Games Played,"(Q Agent): train_opponent=OptimalAgent,
          num_heaps=4, max_elements=6,
          α=0.4, γ=1, ε=0.05"
0,0.288
40,0.296
80,0.332
120,0.333
160,0.375
200,0.444
240,0.525
280,0.576
320,0.589
360,0.582
400,0.628
440,0.682
480,0.708
520,0.756
560,0.763
600,0.787
640,0.827
680,0.856
720,0.87
760,0.891
800,0.907
840,0.912
880,0.925
920,0.926
960,0.926
1000,0.945
1040,0.944
1080,0.953
1120,0.954
1160,0.958
1200,0.972
1240,0.974
1280,0.981
1320,0.983
1360,0.989
1400,0.981
1440,0.982
1480,0.986
1520,0.983
1560,0.987
1600,0.981
1640,0.982
1680,0.987
1720,0.983
1760,0.98
1800,0.995
1840,0.989
1880,0.987
1920,0.993
1960,0.987
2000,0.987
2040,0.989
2080,0.989
2120,0.99
2160,0.992
2200,0.991
2240,0.99
2280,0.993
2320,0.996
2360,0.992
2400,0.991
2440,0.989
2480,0.992
2520,0.994
2560,0.991
2600,0.992
2640,0.991
2680,0.996
2720,0.994
2760,0.995
2800,0.984
2840,0.993
2880,0.997
2920,0.993
2960,0.995
3000,0.999
3040,0.998
3080,1.0
3120,0.997
3160,0.997
3200,0.995
3240,0.997
3280,1.0
3320,0.997
3360,0.997
3400,0.999
3440,0.998
3480,0.995
3520,0.995
3560,0.997
3600,0.997
3640,0.998
3680,0.995
3720,0.993
3760,0.997
3800,0.998
3840,0.996
3880,1.0
3920,1.0
3960,1.0
4000,1.0
