Games Played,"(Q Agent): train_opponent=RandomAgent,
          num_heaps=4, max_elements=6,
          α=0.4, γ=1, ε=0.05"
0,0.321
30000,0.388
60000,0.471
90000,0.554
120000,0.521
150000,0.593
180000,0.633
210000,0.667
240000,0.714
270000,0.781
300000,0.843
330000,0.832
360000,0.794
390000,0.858
420000,0.863
450000,0.88
480000,0.86
510000,0.849
540000,0.815
570000,0.797
600000,0.842
630000,0.835
660000,0.782
690000,0.815
720000,0.827
750000,0.824
780000,0.89
810000,0.867
840000,0.824
870000,0.873
900000,0.899
930000,0.939
960000,0.951
990000,0.957
1020000,0.956
1050000,0.958
1080000,0.957
1110000,0.977
1140000,0.96
1170000,0.96
1200000,0.964
1230000,0.977
1260000,0.966
1290000,0.96
1320000,0.957
1350000,0.949
1380000,0.963
1410000,0.976
1440000,0.985
1470000,0.975
1500000,0.977
1530000,0.978
1560000,0.981
1590000,0.975
1620000,0.98
1650000,0.977
1680000,0.976
1710000,0.982
1740000,0.978
1770000,0.986
1800000,0.982
1830000,0.966
1860000,0.978
1890000,0.983
1920000,0.985
1950000,0.976
1980000,0.98
2010000,0.983
2040000,0.977
2070000,0.981
2100000,0.985
2130000,0.977
2160000,0.983
2190000,0.982
2220000,0.985
2250000,0.982
2280000,0.975
2310000,0.979
2340000,0.982
2370000,0.985
2400000,0.986
2430000,0.982
2460000,0.982
2490000,0.981
2520000,0.984
2550000,0.991
2580000,0.968
2610000,0.987
2640000,0.987
2670000,0.98
2700000,0.988
2730000,0.993
2760000,0.985
2790000,0.986
2820000,0.99
2850000,0.991
2880000,0.976
2910000,0.984
2940000,0.975
2970000,0.986
3000000,0.982
