Percent of Optimal,Random,Reverse Optimal,Random Reverse Optimal
0,89500.0,,
1,65500.0,174250.0,153900.0
2,54550.0,98900.0,85000.0
3,46800.0,72450.0,64500.0
4,39650.0,59350.0,53200.0
5,38500.0,48850.0,47300.0
6,37300.0,45100.0,42750.0
7,32000.0,39100.0,38750.0
8,29950.0,36100.0,35400.0
9,29700.0,34100.0,32050.0
10,28850.0,31550.0,29800.0
11,24100.0,27250.0,28050.0
12,23950.0,25350.0,24600.0
13,21650.0,26600.0,24500.0
14,20700.0,22800.0,23200.0
15,20050.0,22100.0,21050.0
16,19550.0,21650.0,21200.0
17,18200.0,18750.0,19300.0
18,17350.0,17800.0,17250.0
19,16650.0,17300.0,15600.0
20,14500.0,16100.0,16050.0
21,15400.0,15600.0,15000.0
22,14150.0,14700.0,14200.0
23,12300.0,12900.0,14600.0
24,12000.0,13500.0,12800.0
25,11250.0,11350.0,11950.0
26,10650.0,11400.0,11400.0
27,11850.0,10800.0,10900.0
28,10050.0,10100.0,10000.0
29,9200.0,9900.0,9800.0
30,8500.0,9100.0,8950.0
31,8050.0,7550.0,8450.0
32,7500.0,7600.0,8700.0
33,6750.0,7250.0,7300.0
34,6300.0,6850.0,6750.0
35,5750.0,6300.0,6200.0
36,6000.0,6050.0,5700.0
37,5450.0,4900.0,5350.0
38,4950.0,5150.0,5100.0
39,4300.0,5050.0,4550.0
40,4550.0,4350.0,4600.0
41,4150.0,4200.0,4650.0
42,3450.0,3950.0,3950.0
43,3250.0,3650.0,3950.0
44,3000.0,3400.0,3700.0
45,2900.0,3100.0,3550.0
46,3000.0,2950.0,3300.0
47,2400.0,2750.0,3000.0
48,2550.0,2750.0,2450.0
49,2100.0,2600.0,2650.0
50,2200.0,2350.0,2300.0
51,1900.0,2150.0,2200.0
52,1850.0,1950.0,2000.0
53,1800.0,1900.0,2000.0
54,1650.0,1850.0,1850.0
55,1500.0,1900.0,1850.0
56,1450.0,1750.0,1800.0
57,1400.0,1550.0,1550.0
58,1450.0,1550.0,1550.0
59,1200.0,1500.0,1350.0
60,1200.0,1400.0,1350.0
61,1200.0,1350.0,1350.0
62,1150.0,1250.0,1300.0
63,1100.0,1250.0,1200.0
64,1050.0,1150.0,1150.0
65,1000.0,1200.0,1200.0
66,950.0,1150.0,1050.0
67,950.0,1100.0,1100.0
68,900.0,1100.0,1050.0
69,900.0,1050.0,1000.0
70,900.0,1000.0,950.0
71,800.0,900.0,900.0
72,850.0,950.0,900.0
73,800.0,950.0,850.0
74,800.0,850.0,900.0
75,800.0,850.0,850.0
76,800.0,850.0,800.0
77,750.0,800.0,850.0
78,700.0,800.0,800.0
79,750.0,750.0,800.0
80,700.0,800.0,800.0
81,750.0,750.0,750.0
82,700.0,700.0,700.0
83,650.0,750.0,700.0
84,700.0,750.0,700.0
85,700.0,700.0,650.0
86,650.0,700.0,700.0
87,650.0,650.0,650.0
88,650.0,600.0,700.0
89,650.0,650.0,650.0
90,650.0,650.0,650.0
91,650.0,650.0,600.0
92,600.0,600.0,650.0
93,600.0,650.0,600.0
94,600.0,650.0,600.0
95,600.0,600.0,600.0
96,600.0,600.0,600.0
97,600.0,600.0,550.0
98,600.0,550.0,650.0
99,550.0,550.0,600.0
100,550.0,550.0,550.0
